local_designation|ps1_designation|sherlock_distancempc|dec_psf|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|target|ref|diff|mjd_obs
10AYSEatl|PS20jn|636.20048|33.02812621220029|0.0952249|20.5422|SN|GOOD|1237661381697536260/SDSSJ093344.81+330141.7|r|SDSS/GLADE|2020-01-26|0.135079|2020azs|143.43996228002516|1093345581330141200|1093345581330141200_58874.582_101998153_244_target|1093345581330141200_58874.582_101998153_244_ref|1093345581330141200_58874.582_101998153_244_diff|58874.5829582121
10AYSEave|PS20jt|1444.328288|32.16406127335491|0.0734414|20.3847|SN|GOOD|1237664869751521858|r|SDSS DR12 PhotoObjAll Table|2020-01-26||2020azx|145.96845581870645|1094352421320950500|1094352421320950500_58874.583_101998254_183_target|1094352421320950500_58874.583_101998254_183_ref|1094352421320950500_58874.583_101998254_183_diff|58874.5838195105
10AYSEasu|PS20jf|2973.196548|18.828439607311875|0.25653|21.0919|SN|GOOD|1237667914349805893|r|SDSS DR12 PhotoObjAll Table|2020-01-26||2020azl|192.69380461303012|1125046511184942400|1125046511184942400_58874.601_101999879_114_target|1125046511184942400_58874.601_101999879_114_ref|1125046511184942400_58874.601_101999879_114_diff|58874.6014697459
10AYSEasx|PS20ji||35.530083256320886|0.105741|20.5152|ORPHAN|GOOD||r||2020-01-26||2020azn|141.918497658545|1092740431353148300|1092740431353148300_58874.583_101998199_131_target|1092740431353148300_58874.583_101998199_131_ref|1092740431353148300_58874.583_101998199_131_diff|58874.583390146
10AYSEauh|||27.939682175744974|0.0637559|20.0385|ORPHAN|POSSIBLE||i||2020-01-26|||134.59902119017002|1085823781275622900|1085823781275622900_58874.513_101990321_220_target|1085823781275622900_58874.513_101990321_220_ref|1085823781275622900_58874.513_101990321_220_diff|58874.51328817
10AYSEavd|||39.75153083374165|0.262048|20.7955|ORPHAN|POSSIBLE||r||2020-01-26|||114.98510906389681|1073956421394505400|1073956421394505400_58874.408_101977329_216_target|1073956421394505400_58874.408_101977329_216_ref|1073956421394505400_58874.408_101977329_216_diff|58874.4083430157
10AYSEauz|||38.2196530978863|0.0851081|20.0646|ORPHAN|POSSIBLE||r||2020-01-26|||114.40975507489387|1073738341381310800|1073738341381310800_58874.407_101977200_247_target|1073738341381310800_58874.407_101977200_247_ref|1073738341381310800_58874.407_101977200_247_diff|58874.4074663976
10AYSEava|||39.64348473279822|0.190425|20.8035|ORPHAN|POSSIBLE||r||2020-01-26|||112.16148358970247|1072838741393836400|1072838741393836400_58874.407_101977191_245_target|1072838741393836400_58874.407_101977191_245_ref|1072838741393836400_58874.407_101977191_245_diff|58874.4074663976
10AYSEavb||2035.745908|39.03808897911746|0.158488|20.6143|SN|POSSIBLE|1237651496828077388|r|SDSS DR12 PhotoObjAll Table|2020-01-26|||113.41921147473117|1073340621390216900|1073340621390216900_58874.407_101977214_411_target|1073340621390216900_58874.407_101977214_411_ref|1073340621390216900_58874.407_101977214_411_diff|58874.4074663976
10AYSEaut|||39.0569780567069|0.183292|20.8088|ORPHAN|POSSIBLE||r||2020-01-26|||113.42726836724303|1073342551390325100|1073342551390325100_58874.407_101977214_305_target|1073342551390325100_58874.407_101977214_305_ref|1073342551390325100_58874.407_101977214_305_diff|58874.4074663976
