local_designation|ps1_designation|sherlock_distancempc|dec_psf|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|target|ref|diff|mjd_obs
10AYSEaqd|||-11.591210235345736|0.126059|20.1837|ORPHAN|POSSIBLE||r||2020-01-24|||150.97418296788456|1100353790113528200|1100353790113528200_58872.436_101887601_158_target|1100353790113528200_58872.436_101887601_158_ref|1100353790113528200_58872.436_101887601_158_diff|58872.4360599714
10AYSEapo|||-11.382063122096238|0.0896444|20.9214|ORPHAN|POSSIBLE||r||2020-01-24|||144.14112503169412|1093633870112255500|1093633870112255500_58872.434_101887391_683_target|1093633870112255500_58872.434_101887391_683_ref|1093633870112255500_58872.434_101887391_683_diff|58872.4343256108
10AYSEaqb|||-11.602795806362986|0.110989|20.478|ORPHAN|POSSIBLE||r||2020-01-24|||147.6533825023027|1095036800113609800|1095036800113609800_58872.435_101887508_308_target|1095036800113609800_58872.435_101887508_308_ref|1095036800113609800_58872.435_101887508_308_diff|58872.4351933034
10AYSEapz|||-11.58415786546269|0.0876714|20.4894|ORPHAN|POSSIBLE||r||2020-01-24|||149.73580705738104|1095856590113503000|1095856590113503000_58872.436_101887604_264_target|1095856590113503000_58872.436_101887604_264_ref|1095856590113503000_58872.436_101887604_264_diff|58872.4360599714
10AYSEapx|||-11.577950423714398|0.189198|20.6735|ORPHAN|POSSIBLE||r||2020-01-24|||147.76589184139874|1095103820113440400|1095103820113440400_58872.435_101887508_273_target|1095103820113440400_58872.435_101887508_273_ref|1095103820113440400_58872.435_101887508_273_diff|58872.4351933034
10AYSEape|||-11.620770629473409|0.13056|20.8549|ORPHAN|POSSIBLE||r||2020-01-24|||150.73959813298518|1100257500113714600|1100257500113714600_58872.436_101887596_338_target|1100257500113714600_58872.436_101887596_338_ref|1100257500113714600_58872.436_101887596_338_diff|58872.4360599714
10AYSEapq|||-11.633632386543853|0.111117|20.5895|ORPHAN|POSSIBLE||r||2020-01-24|||150.83374674497378|1100320090113800900|1100320090113800900_58872.436_101887596_304_target|1100320090113800900_58872.436_101887596_304_ref|1100320090113800900_58872.436_101887596_304_diff|58872.4360599714
10AYSEapp|||-8.459814717749227|0.083601|20.1546|ORPHAN|POSSIBLE||r||2020-01-24|||146.68012800704878|1094643230082735400|1094643230082735400_58872.435_101887534_271_target|1094643230082735400_58872.435_101887534_271_ref|1094643230082735400_58872.435_101887534_271_diff|58872.4356282772
10AYSEapf|||-6.011085625326107|0.130194|20.5362|ORPHAN|POSSIBLE||i||2020-01-24|||137.76844400112944|1091104420060039900|1091104420060039900_58872.428_101886731_351_target|1091104420060039900_58872.428_101886731_351_ref|1091104420060039900_58872.428_101886731_351_diff|58872.4287528675
10AYSEapn|||-8.351782638865034|0.253109|20.9787|ORPHAN|POSSIBLE||r||2020-01-24|||151.38781016654582|1100533060082106400|1100533060082106400_58872.436_101887654_264_target|1100533060082106400_58872.436_101887654_264_ref|1100533060082106400_58872.436_101887654_264_diff|58872.4364989892
10AYSEapt|||-5.8372767213398635|0.143263|20.6445|ORPHAN|POSSIBLE||i||2020-01-24|||136.01717451711795|1090404120055014300|1090404120055014300_58872.428_101886735_538_target|1090404120055014300_58872.428_101886735_538_ref|1090404120055014300_58872.428_101886735_538_diff|58872.4287528675
10AYSEapk|||-8.52230758620991|0.0833291|20.0603|ORPHAN|POSSIBLE||r||2020-01-24|||150.79991557531906|1100311980083120200|1100311980083120200_58872.436_101887650_194_target|1100311980083120200_58872.436_101887650_194_ref|1100311980083120200_58872.436_101887650_194_diff|58872.4364989892
10AYSEapm|||-6.9419862828075285|0.0698047|19.5591|UNCLEAR|POSSIBLE|S5RP005000/5756605311767163904|i|GSC/GAIA/PS1|2020-01-24|||136.32639816795924|1090518330065631000|1090518330065631000_58872.428_101886711_277_target|1090518330065631000_58872.428_101886711_277_ref|1090518330065631000_58872.428_101886711_277_diff|58872.4287528675
10AYSEapy|||-6.150742397074914|0.0824191|20.1823|ORPHAN|POSSIBLE||i||2020-01-24|||136.87434302182447|1090729840060902600|1090729840060902600_58872.428_101886725_494_target|1090729840060902600_58872.428_101886725_494_ref|1090729840060902600_58872.428_101886725_494_diff|58872.4287528675
10AYSEaqc|||0.4525176645466147|0.140501|20.334|SN|POSSIBLE|GAMA216174|i|GLADE|2020-01-24|||137.03629299910904|1090808711002709200|1090808711002709200_58872.429_101886791_269_target|1090808711002709200_58872.429_101886791_269_ref|1090808711002709200_58872.429_101886791_269_diff|58872.429186986
10AYSEaou||199.6485341|0.5813661441141021|0.0860202|20.2589|SN|POSSIBLE|1237650796750963069/1169471|i|SDSS/GLADE|2020-01-24|0.0450679||132.65966296252975|1085038311003452800|1085038311003452800_58872.428_101886669_432_target|1085038311003452800_58872.428_101886669_432_ref|1085038311003452800_58872.428_101886669_432_diff|58872.4283192918
10AYSEapj|||0.5524470718462794|0.0874709|20.21|SN|POSSIBLE|GAMA215085|i|GLADE|2020-01-24|||132.6637544987854|1085039301003308700|1085039301003308700_58872.428_101886669_443_target|1085039301003308700_58872.428_101886669_443_ref|1085039301003308700_58872.428_101886669_443_diff|58872.4283192918
10AYSEapi|||-6.129111058549104|0.104541|20.1621|ORPHAN|POSSIBLE||i||2020-01-24|||140.39312122476463|1092134340060744600|1092134340060744600_58872.429_101886999_298_target|1092134340060744600_58872.429_101886999_298_ref|1092134340060744600_58872.429_101886999_298_diff|58872.4296265505
10AYSEapg|||0.49171894860381227|0.129067|20.1712|SN|POSSIBLE|GAMA215461|i|GLADE|2020-01-24|||133.88510690274524|1085532421002930300|1085532421002930300_58872.428_101886666_272_target|1085532421002930300_58872.428_101886666_272_ref|1085532421002930300_58872.428_101886666_272_diff|58872.4283192918
10AYSEaot||29.756213|10.241349193149556|0.0842185|20.577|SN|POSSIBLE|VCCA059|r|NED|2020-01-24|0.006911||184.20245916733575|1121648591101428700|1121648591101428700_58872.606_101901851_229_target|1121648591101428700_58872.606_101901851_229_ref|1121648591101428700_58872.606_101901851_229_diff|58872.6067609395
10AYSEapa|||10.230507606412711|0.0827605|20.314|ORPHAN|POSSIBLE||r||2020-01-24|||188.29902854739817|1123311761101349700|1123311761101349700_58872.606_101901796_154_target|1123311761101349700_58872.606_101901796_154_ref|1123311761101349700_58872.606_101901796_154_diff|58872.6062565139
10AYSEaoy|||12.3442906809519|0.185999|20.0997|ORPHAN|POSSIBLE||z||2020-01-24|||187.37669897781555|1122930391122039300|1122930391122039300_58872.611_101902064_145_target|1122930391122039300_58872.611_101902064_145_ref|1122930391122039300_58872.611_101902064_145_diff|58872.6114742448
10AYSEaoz|||12.233856948057797|0.313004|20.6228|ORPHAN|POSSIBLE||z||2020-01-24|||188.63553873148064|1123432521121401900|1123432521121401900_58872.611_101902060_175_target|1123432521121401900_58872.611_101902060_175_ref|1123432521121401900_58872.611_101902060_175_diff|58872.6114742448
10AYSEapb|||12.362680682987165|0.282222|20.5296|ORPHAN|POSSIBLE||z||2020-01-24|||188.23093877430307|1123255421122145600|1123255421122145600_58872.611_101902061_201_target|1123255421122145600_58872.611_101902061_201_ref|1123255421122145600_58872.611_101902061_201_diff|58872.6114742448
10AYSEapc||4143.326063|12.604958498252408|0.15173|20.8899|SN|POSSIBLE|1237661817096176867|r|SDSS DR12 PhotoObjAll Table|2020-01-24|||190.32246632522867|1124117391123617700|1124117391123617700_58872.605_101901744_125_target|1124117391123617700_58872.605_101901744_125_ref|1124117391123617700_58872.605_101901744_125_diff|58872.6057902918
10AYSEame|PS20hd|112.0804511|21.76726843210723|0.107627|19.8083|SN|CONFIRMED|1237667734505914513/1656840|r|SDSS/GLADE|2020-01-23|0.0256644||177.77259825364413|1115105431214602200|1115105431214602200_58871.564_101856128_18_target|1115105431214602200_58871.564_101856128_18_ref|1115105431214602200_58871.564_101856128_18_diff|58873.5571968622
10AYSEakh|PS19ixf||-4.817360989219267|0.162544|21.0204|UNCLEAR|GOOD|S5FW003640|g|GSC v2.3|2020-01-23|||158.97362362643912|1103553680044902600|1103553680044902600_58871.574_101857047_799_target|1103553680044902600_58871.574_101857047_799_ref|1103553680044902600_58871.574_101857047_799_diff|58871.5744233012
10AYSEama|PS20hc||12.718340775737108|0.23843|20.708|NT|GOOD|12290285+1243055/1237661950255|i|2MASS/SDSS/GSC|2020-01-23||2019aaag|187.26205487290437|1122902881124306000|1122902881124306000_58871.568_101856524_161_target|1122902881124306000_58871.568_101856524_161_ref|1122902881124306000_58871.568_101856524_161_diff|58874.5767425647
10AYSEalq|PS20hb||16.938583032915083|0.23292|20.6129|NT|GOOD|12082865+1656183/1237668623548|i|2MASS/SDSS/GSC|2020-01-23||2020aox|182.1195866062046|1120828701165618700|1120828701165618700_58871.562_101855864_194_target|1120828701165618700_58871.562_101855864_194_ref|1120828701165618700_58871.562_101855864_194_diff|58871.5621981901
10AYSEakm|PS20gv|536.107114|30.805913588954336|0.102278|19.9059|SN|GOOD|1237665226776052109|i|SDSS DR12 PhotoObjAll Table|2020-01-23|||204.90635656464283|1133937521304821300|1133937521304821300_58871.647_101865717_208_target|1133937521304821300_58871.647_101865717_208_ref|1133937521304821300_58871.647_101865717_208_diff|58871.6473952597
10AYSEakn|PS20gw|3242.767781|31.65884027666744|0.182168|20.7912|SN|GOOD|1237665227312005476|r|SDSS DR12 PhotoObjAll Table|2020-01-23||2020aor|202.73500663215432|1133056391313931900|1133056391313931900_58871.646_101865216_173_target|1133056391313931900_58871.646_101865216_173_ref|1133056391313931900_58871.646_101865216_173_diff|58873.6158178289
10AYSEall|PS20ha||21.130696646781583|0.165266|20.166|ORPHAN|GOOD||r||2020-01-23||2020aov|180.898904393966|1120335721210750500|1120335721210750500_58871.565_101856188_112_target|1120335721210750500_58871.565_101856188_112_ref|1120335721210750500_58871.565_101856188_112_diff|58873.5581465052
10AYSEakr|PS20gz|433.237287|3.758981341337761|0.211592|21.0092|SN|GOOD|1237671762640765045|g|SDSS DR12 PhotoObjAll Table|2020-01-23||2020aou|192.7292579869681|1125055021034532300|1125055021034532300_58871.640_101864657_93_target|1125055021034532300_58871.640_101864657_93_ref|1125055021034532300_58871.640_101864657_93_diff|58871.6409609805
10AYSEako|PS20gx|414.241489|5.5445978108678435|0.232047|21.0138|SN|GOOD|1237671764252099280|g|SDSS DR12 PhotoObjAll Table|2020-01-23||2020aos|191.36463964423058|1124527501053240600|1124527501053240600_58871.640_101864586_146_target|1124527501053240600_58871.640_101864586_146_ref|1124527501053240600_58871.640_101864586_146_diff|58871.6405026154
10AYSEakp|PS20gy|828.356007|5.442134178530749|0.287539|20.9073|NT|GOOD|1237655126087958740|g|SDSS DR12 PhotoObjAll Table|2020-01-23||2020aot|195.89899615266154|1130335751052631700|1130335751052631700_58871.642_101864795_110_target|1130335751052631700_58871.642_101864795_110_ref|1130335751052631700_58871.642_101864795_110_diff|58871.6422757953
10AYSEalv||3780.792654|13.894352147113256|0.0640531|19.8831|NT|POSSIBLE|1237661068721062298/N6E4002880|r|SDSS/GSC|2020-01-23|0.634849||172.61372323988698|1113027301135339600|1113027301135339600_58871.560_101855625_77_target|1113027301135339600_58871.560_101855625_77_ref|1113027301135339600_58871.560_101855625_77_diff|58873.610861295
10AYSEaky||1543.936427|31.848033062820814|0.295859|20.8906|SN|POSSIBLE|1237665101672415457|i|SDSS DR12 PhotoObjAll Table|2020-01-23|||209.82863482642242|1135918861315052900|1135918861315052900_58871.648_101865378_170_target|1135918861315052900_58871.648_101865378_170_ref|1135918861315052900_58871.648_101865378_170_diff|58871.6483278061
10AYSEaku|||1.6326005247556714|0.139941|20.5934|SN|POSSIBLE|1237651735224451290/1123935323|i|SDSS/PS1|2020-01-23|||189.89716963277155|1123935321013757300|1123935321013757300_58871.640_101864525_158_target|1123935321013757300_58871.640_101864525_158_ref|1123935321013757300_58871.640_101864525_158_diff|58874.5956992506
10AYSEakw|||6.2394690416106195|0.224992|20.4866|SN|POSSIBLE|1237661970116575592/N4T4005171|g|SDSS/GSC|2020-01-23|||195.8712145399862|1130329091061422100|1130329091061422100_58871.642_101864799_107_target|1130329091061422100_58871.642_101864799_107_ref|1130329091061422100_58871.642_101864799_107_diff|58874.5951888473
10AYSEalu|||-4.150275781491265|0.124854|21.0413|ORPHAN|POSSIBLE||g||2020-01-23|||158.1284306814004|1103230810040901100|1103230810040901100_58871.574_101857064_1832_target|1103230810040901100_58871.574_101857064_1832_ref|1103230810040901100_58871.574_101857064_1832_diff|58871.5744233012
10AYSEalx|||-4.239567067124947|0.154693|20.5836|ORPHAN|POSSIBLE||g||2020-01-23|||161.3023740839273|1104512560041422400|1104512560041422400_58871.575_101857173_193_target|1104512560041422400_58871.575_101857173_193_ref|1104512560041422400_58871.575_101857173_193_diff|58871.5753031256
10AYSEalk|||-4.264142927314866|0.208694|20.9534|ORPHAN|POSSIBLE||g||2020-01-23|||161.29349303649497|1104510440041550900|1104510440041550900_58871.575_101857173_199_target|1104510440041550900_58871.575_101857173_199_ref|1104510440041550900_58871.575_101857173_199_diff|58871.5753031256
10AYSEalw|||5.2822051110068315|0.143683|21.1408|ORPHAN|POSSIBLE||r||2020-01-23|||152.8180084302962|1101116331051655800|1101116331051655800_58871.580_101857766_286_target|1101116331051655800_58871.580_101857766_286_ref|1101116331051655800_58871.580_101857766_286_diff|58871.5806640791
10AYSEalc|||6.287450257520499|0.0978173|20.3178|ORPHAN|POSSIBLE||r||2020-01-23|||152.53616412740303|1101008681061714800|1101008681061714800_58871.580_101857780_193_target|1101008681061714800_58871.580_101857780_193_ref|1101008681061714800_58871.580_101857780_193_diff|58871.5806640791
10AYSEalo|||6.289105724110829|0.120472|20.603|ORPHAN|POSSIBLE||r||2020-01-23|||152.52148910828436|1101005161061720700|1101005161061720700_58871.580_101857780_208_target|1101005161061720700_58871.580_101857780_208_ref|1101005161061720700_58871.580_101857780_208_diff|58871.5806640791
10AYSEald|||10.354531346615179|0.10806|19.8333|ORPHAN|POSSIBLE||i||2020-01-23|||173.11550331092894|1113227721102116300|1113227721102116300_58871.559_101855579_103_target|1113227721102116300_58871.559_101855579_103_ref|1113227721102116300_58871.559_101855579_103_diff|58871.5597889326
10AYSEaly|||7.354135497762125|0.0804493|20.519|UNCLEAR|POSSIBLE|N6WN007781|r|GSC v2.3|2020-01-23|||149.4258492482964|1095742201072114800|1095742201072114800_58871.579_101857688_199_target|1095742201072114800_58871.579_101857688_199_ref|1095742201072114800_58871.579_101857688_199_diff|58871.579759539
10AYSEamc|||4.1666561722802715|0.075686|20.5349|ORPHAN|POSSIBLE||r||2020-01-23|||149.46011349917814|1095750421040959900|1095750421040959900_58871.579_101857633_257_target|1095750421040959900_58871.579_101857633_257_ref|1095750421040959900_58871.579_101857633_257_diff|58871.5793293664
10AYSEamb|||-1.918033636160877|0.213237|21.2998|ORPHAN|POSSIBLE||g||2020-01-23|||161.87338123551126|1104729610015504900|1104729610015504900_58871.575_101857207_229_target|1104729610015504900_58871.575_101857207_229_ref|1104729610015504900_58871.575_101857207_229_diff|58871.5757411327
10AYSEalm|||-1.0960064287044193|0.199292|20.6819|ORPHAN|POSSIBLE||g||2020-01-23|||161.27375102244366|1104505700010545600|1104505700010545600_58871.575_101857219_125_target|1104505700010545600_58871.575_101857219_125_ref|1104505700010545600_58871.575_101857219_125_diff|58871.5757411327
10AYSEakq|||2.077024027194973|0.152477|20.9767|ORPHAN|POSSIBLE||r||2020-01-23|||155.94054880853872|1102345731020437200|1102345731020437200_58871.581_101857919_307_target|1102345731020437200_58871.581_101857919_307_ref|1102345731020437200_58871.581_101857919_307_diff|58871.5811142706
10AYSEalf|||7.576804103575512|0.0982747|20.2807|ORPHAN|POSSIBLE||i||2020-01-23|||186.85641082165074|1122725531073436600|1122725531073436600_58871.568_101856560_231_target|1122725531073436600_58871.568_101856560_231_ref|1122725531073436600_58871.568_101856560_231_diff|58871.5688186935
10AYSEala||2409.91|2.5445636981588877|0.0953803|20.6445|SN|POSSIBLE|SDSSJ101052.08+023251.7|r|GLADE|2020-01-23|0.433271376636||152.70806260996963|1101049941023240500|1101049941023240500_58871.580_101857710_290_target|1101049941023240500_58871.580_101857710_290_ref|1101049941023240500_58871.580_101857710_290_diff|58871.5802015862
10AYSEali|||3.135359729176927|0.0755405|19.9866|ORPHAN|POSSIBLE||r||2020-01-23|||152.53593332964203|1101008631030807200|1101008631030807200_58871.580_101857717_144_target|1101008631030807200_58871.580_101857717_144_ref|1101008631030807200_58871.580_101857717_144_diff|58871.5802015862
10AYSEalz|||3.0734783511680215|0.100621|19.9986|ORPHAN|POSSIBLE||r||2020-01-23|||152.54996474140745|1101011991030424600|1101011991030424600_58871.580_101857717_204_target|1101011991030424600_58871.580_101857717_204_ref|1101011991030424600_58871.580_101857717_204_diff|58871.5802015862
10AYSEals|||3.1648594620888733|0.105038|20.4509|ORPHAN|POSSIBLE||r||2020-01-23|||152.52778065797042|1101006671030953400|1101006671030953400_58871.580_101857717_179_target|1101006671030953400_58871.580_101857717_179_ref|1101006671030953400_58871.580_101857717_179_diff|58871.5802015862
10AYSEalb||2501.447001|7.002085220368439|0.122777|20.8738|SN|POSSIBLE|1237658424624415501|r|SDSS DR12 PhotoObjAll Table|2020-01-23|||152.65435558326294|1101037041070007400|1101037041070007400_58871.580_101857792_194_target|1101037041070007400_58871.580_101857792_194_ref|1101037041070007400_58871.580_101857792_194_diff|58871.5806640791
10AYSEalp|||7.675331731134248|0.147103|20.6076|ORPHAN|POSSIBLE||i||2020-01-23|||186.42665880933956|1122542391074031000|1122542391074031000_58871.568_101856568_242_target|1122542391074031000_58871.568_101856568_242_ref|1122542391074031000_58871.568_101856568_242_diff|58871.5688186935
10AYSEale|||4.911863536422867|0.11801|20.9638|ORPHAN|POSSIBLE||r||2020-01-23|||149.79805739456205|1095911531045442700|1095911531045442700_58871.579_101857644_387_target|1095911531045442700_58871.579_101857644_387_ref|1095911531045442700_58871.579_101857644_387_diff|58871.579759539
10AYSEalj||609.486701|20.203216941508252|0.275589|21.5095|SN|POSSIBLE|1237667915954585726/1619881|g|SDSS/GLADE|2020-01-23|0.129842||178.6399527673856|1115433581201211400|1115433581201211400_58871.564_101856133_77_target|1115433581201211400_58871.564_101856133_77_ref|1115433581201211400_58871.564_101856133_77_diff|58871.5646214072
10AYSEalr|||20.283882119648414|0.148102|20.7058|ORPHAN|POSSIBLE||g||2020-01-23|||185.31969642107384|1122116731201701900|1122116731201701900_58871.566_101856347_111_target|1122116731201701900_58871.566_101856347_111_ref|1122116731201701900_58871.566_101856347_111_diff|58871.5665281628
10AYSEaln|||20.24106394892237|0.185651|21.0074|ORPHAN|POSSIBLE||g||2020-01-23|||185.29556357864107|1122110931201427800|1122110931201427800_58871.566_101856347_114_target|1122110931201427800_58871.566_101856347_114_ref|1122110931201427800_58871.566_101856347_114_diff|58871.5665281628
10AYSEalt|||19.59535036702665|0.113323|20.5875|ORPHAN|POSSIBLE||g||2020-01-23|||184.38868899329947|1121733271193543300|1121733271193543300_58871.566_101856341_109_target|1121733271193543300_58871.566_101856341_109_ref|1121733271193543300_58871.566_101856341_109_diff|58871.5665281628
10AYSEalh||1559.354613|20.599181975594146|0.26773|20.959|SN|POSSIBLE|1237668298740793657|g|SDSS DR12 PhotoObjAll Table|2020-01-23|||184.56638588409837|1121815931203557100|1121815931203557100_58873.556_101945253_120_target|1121815931203557100_58873.556_101945253_120_ref|1121815931203557100_58873.556_101945253_120_diff|58873.5561700496
10AYSEalg|||20.819990348309197|0.143543|20.7859|ORPHAN|POSSIBLE||g||2020-01-23|||182.39993022689677|1120935991204911900|1120935991204911900_58871.565_101856209_136_target|1120935991204911900_58871.565_101856209_136_ref|1120935991204911900_58871.565_101856209_136_diff|58871.5655680583
10AYSEakx|||2.9762758397126152|0.252964|20.8481|ORPHAN|POSSIBLE||g||2020-01-23|||196.59790346537082|1130623491025834500|1130623491025834500_58871.641_101864764_136_target|1130623491025834500_58871.641_101864764_136_ref|1130623491025834500_58871.641_101864764_136_diff|58871.641842736
10AYSEakz|||2.964686998705611|0.265303|20.8823|ORPHAN|POSSIBLE||g||2020-01-23|||196.64893869796157|1130635741025752700|1130635741025752700_58871.641_101864764_133_target|1130635741025752700_58871.641_101864764_133_ref|1130635741025752700_58871.641_101864764_133_diff|58871.641842736
10AYSEaks|||6.857417528949032|0.238013|20.5019|ORPHAN|POSSIBLE||g||2020-01-23|||195.82715777106768|1130318521065126800|1130318521065126800_58871.642_101864803_81_target|1130318521065126800_58871.642_101864803_81_ref|1130318521065126800_58871.642_101864803_81_diff|58871.6422757953
10AYSEakt|||31.65928755440747|0.176033|20.4294|ORPHAN|POSSIBLE||i||2020-01-23|||209.82988904582504|1135919161313933300|1135919161313933300_58871.648_101865378_141_target|1135919161313933300_58871.648_101865378_141_ref|1135919161313933300_58871.648_101865378_141_diff|58871.6483278061
10AYSEakv|||6.841051744327499|0.206252|20.7407|ORPHAN|POSSIBLE||g||2020-01-23|||192.79217590722405|1125110111065027700|1125110111065027700_58871.641_101864734_88_target|1125110111065027700_58871.641_101864734_88_ref|1125110111065027700_58871.641_101864734_88_diff|58871.6413897057
10AYSEaod|PS20hq|1796.08093|38.58495418279322|0.158195|20.7366|NT|GOOD|1237654390565896308|g|SDSS DR12 PhotoObjAll Table|2020-01-22||2020aqm|119.86262447379352|1075927011383505700|1075927011383505700_58870.460_101796763_263_target|1075927011383505700_58870.460_101796763_263_ref|1075927011383505700_58870.460_101796763_263_diff|58870.4606086445
10AYSEakl|PS19hpj|861.582884|28.691282628501817|0.0977372|20.2408|NT|GOOD|1237664878338965716/N9BG004491|r|SDSS/GSC|2020-01-22|||141.7448123015409|1092658761284128600|1092658761284128600_58870.526_101804438_110_target|1092658761284128600_58870.526_101804438_110_ref|1092658761284128600_58870.526_101804438_110_diff|58870.5269504138
10AYSEaml|PS20hf|383.51|18.379992394394492|0.149633|19.5177|NT|GOOD|13040881+1822473/13040879+1822|g|GLADE/2MASS/SDSS|2020-01-22|0.084064|2020apd|196.03665898116228|1130408791182247800|1130408791182247800_58870.578_101810372_74_target|1130408791182247800_58870.578_101810372_74_ref|1130408791182247800_58870.578_101810372_74_diff|58874.6004475034
10AYSEand|PS20hk|2012.637576|16.863565859627485|0.275934|20.7117|NT|GOOD|1237668589727842374|r|SDSS DR12 PhotoObjAll Table|2020-01-22||2020aqg|196.38697385458494|1130532861165148900|1130532861165148900_58870.578_101810348_92_target|1130532861165148900_58870.578_101810348_92_ref|1130532861165148900_58870.578_101810348_92_diff|58874.602498141
10AYSEaos|PS20hw|11.46718|7.987887443037931|0.259796|20.758|SN|GOOD|AGESVC1280|i|NED|2020-01-22|0.002672|2020aqt|186.20014661818956|1122448021075916200|1122448021075916200_58870.581_101810584_226_target|1122448021075916200_58870.581_101810584_226_ref|1122448021075916200_58870.581_101810584_226_diff|58874.577209542
10AYSEaom|PS20hu|874.709207|42.25108104621101|0.178366|20.8409|SN|GOOD|1237663915724309016|g|SDSS DR12 PhotoObjAll Table|2020-01-22||2020aqr|113.24370502173622|1073258491421503900|1073258491421503900_58870.459_101796597_392_target|1073258491421503900_58870.459_101796597_392_ref|1073258491421503900_58870.459_101796597_392_diff|58870.4591614636
10AYSEanl|PS20hl|746.726171|46.255952455407346|0.0845643|20.1011|SN|GOOD|1237653587948077811/SDSSJ08312|i|SDSS/GLADE/NED|2020-01-22|0.156431|2020aqh|127.85506408639631|1083125211461521400|1083125211461521400_58870.464_101797234_267_target|1083125211461521400_58870.464_101797234_267_ref|1083125211461521400_58870.464_101797234_267_diff|58870.4648995166
10AYSEakg|PS20gp||-5.0965499653431765|0.0984119|19.2981|UNCLEAR|GOOD|S6GU001318|r|GSC v2.3|2020-01-22|||194.9128480952531|1125939080050547600|1125939080050547600_58870.587_101811106_187_target|1125939080050547600_58870.587_101811106_187_ref|1125939080050547600_58870.587_101811106_187_diff|58874.5903654402
10AYSEamg|PS20he||-4.459391427108732|0.288315|20.6145|NT|GOOD|12402798-0427334/1237671765321|g|2MASS/SDSS|2020-01-22||2020apb|190.11641915452097|1124027930042733800|1124027930042733800_58870.587_101811007_175_target|1124027930042733800_58870.587_101811007_175_ref|1124027930042733800_58870.587_101811007_175_diff|58874.5867894661
10AYSEakj|PS20gs||-5.533001486182985|0.150798|20.4393|ORPHAN|GOOD||r||2020-01-22||2020anm|193.1372246026061|1125232930053158800|1125232930053158800_58870.587_101811103_218_target|1125232930053158800_58870.587_101811103_218_ref|1125232930053158800_58870.587_101811103_218_diff|58874.5903654402
10AYSEamp|PS20hh|501.187|-1.50732263071999|0.0509437|19.3476|SN|GOOD|3296129/1237650762931699928|r|GLADE/SDSS|2020-01-22|0.108038544019|2020apf|189.82234340225241|1123917350013026300|1123917350013026300_58870.587_101811046_136_target|1123917350013026300_58870.587_101811046_136_ref|1123917350013026300_58870.587_101811046_136_diff|58874.5899179807
10AYSEaki|PS20gr||-3.500936273280034|0.100874|19.9605|ORPHAN|GOOD||i||2020-01-22||2020anl|195.85013315512992|1130324030033003300|1130324030033003300_58870.588_101811306_176_target|1130324030033003300_58870.588_101811306_176_ref|1130324030033003300_58870.588_101811306_176_diff|58870.5888269787
10AYSEakk|PS20gt|5197.610929|-0.05437853764460213|0.159841|20.3987|SN|GOOD|1237648721236853390/1237648721|r|SDSS|2020-01-22|||194.00399587740068|1125600950000315600|1125600950000315600_58870.588_101811256_146_target|1125600950000315600_58870.588_101811256_146_ref|1125600950000315600_58870.588_101811256_146_diff|58874.5907944537
10AYSEaoe|PS20hr|464.587841|7.9755854035835565|0.212981|20.675|SN|GOOD|1237654786780037485|r|SDSS DR12 PhotoObjAll Table|2020-01-22||2020aqn|187.7679509064843|1123104311075832100|1123104311075832100_58870.581_101810568_345_target|1123104311075832100_58870.581_101810568_345_ref|1123104311075832100_58870.581_101810568_345_diff|58873.5619733171
10AYSEaor|PS20hv|185.002|-0.8364131089421765|0.0743704|18.6668|NT|GOOD|13115580-0050108/2MASXJ1311558|i|GLADE/2MASS/NED|2020-01-22|0.018418|2020aqs|197.98252483642625|1131155800005011100|1131155800005011100_58870.589_101811341_67_target|1131155800005011100_58870.589_101811341_67_ref|1131155800005011100_58870.589_101811341_67_diff|58870.5892557008
10AYSEany|PS20hn||16.424360999428828|0.221341|20.638|NT|GOOD|12472514+1625283/1237668623015|r|2MASS/SDSS/GSC|2020-01-22||2020aqk|191.85482929412703|1124725161162527600|1124725161162527600_58870.577_101810231_113_target|1124725161162527600_58870.577_101810231_113_ref|1124725161162527600_58870.577_101810231_113_diff|58874.6014697459
10AYSEamo|PS20hg|4265.00283|26.247519072577013|0.16822|20.9804|SN|GOOD|1237664879409693052|i|SDSS DR12 PhotoObjAll Table|2020-01-22||2020ape|134.32273515937834|1085717451261451200|1085717451261451200_58870.525_101804132_148_target|1085717451261451200_58870.525_101804132_148_ref|1085717451261451200_58870.525_101804132_148_diff|58874.51328817
10AYSEanv|PS20hm|1563.986744|23.793173672179506|0.123275|21.0938|SN|GOOD|1237667112258634472|r|SDSS DR12 PhotoObjAll Table|2020-01-22||2020aqi|139.71836590654422|1091852411234735300|1091852411234735300_58870.526_101804354_337_target|1091852411234735300_58870.526_101804354_337_ref|1091852411234735300_58870.526_101804354_337_diff|58870.5264845764
10AYSEanz|PS20ho|885.9308|28.81499238158008|0.0679678|20.3998|SN|GOOD|1237664878875640412|i|SDSS DR12 PhotoObjAll Table|2020-01-22|||141.0120759286566|1092402901284853900|1092402901284853900_58870.526_101804445_197_target|1092402901284853900_58870.526_101804445_197_ref|1092402901284853900_58870.526_101804445_197_diff|58874.51508875
