1992bo 0.018 34.72 0.16
1992bc 0.020 34.87 0.11
1992aq 0.101 38.41 0.15
1992ae 0.075 37.80 0.17
1992P 0.026 35.76 0.13
1990af 0.050 36.53 0.15
1994M 0.024 35.39 0.18
1994S 0.016 34.27 0.12
1994T 0.036 36.19 0.21
1995D 0.008 33.01 0.13
1995E 0.012 33.60 0.17
1995ac 0.049 36.85 0.13
1995ak 0.022 35.15 0.16
1995bd 0.016 34.15 0.19
1996C 0.028 35.98 0.20
1996ab 0.124 39.01 0.13
1992ag 0.026 35.37 0.23
1992al 0.014 33.92 0.11
1992bg 0.035 36.26 0.21
1992bh 0.045 36.91 0.17
1992bl 0.043 36.26 0.15
1992bp 0.080 37.65 0.13
1992br 0.087 38.21 0.19
1992bs 0.064 37.61 0.14
1993H 0.025 35.20 0.26
1993O 0.052 37.03 0.12
1993ag 0.050 36.80 0.17

1996E           0.43  41.740 0.280
1996H           0.62  42.980 0.170
1996I           0.57  42.760 0.190
1996J           0.304 41.380 0.240
1996K           0.38  41.630 0.200
1996U           0.43  42.550 0.250
1997ce          0.44  41.950 0.170
1997cj          0.50  42.400 0.170
1997ck          0.97  44.390 0.300
1995K           0.48  42.450 0.170

